step,critic_loss,actor_loss,alpha,log_pi,train_charge_frac,demo_ratio,val_cash,val_inv_adjusted,val_final_soc,val_charge_frac
10000,0.4474938328191638,0.2960897754877806,0.2,-0.5897617438435554,0.509,0.9525,3032.720221983332,1886.0610770042406,0.0801227018237114,0.3888888888888889
20000,0.5504932053014636,-2.5630000281333922,0.2,-0.5966570258140564,0.471,0.905,2961.143705009089,2260.3291490305023,0.27115875482559204,0.4652777777777778
30000,0.4080717416107655,-0.28872710531577467,0.2,-0.5947085869312286,0.412,0.8575,3656.97877340431,2424.342372054476,0.06222599372267723,0.3819444444444444
40000,0.6874246054142713,-1.3443870883435012,0.2,-0.5820057132840156,0.442,0.81,1413.702425694466,265.525350677722,0.05000000074505806,0.3125
50000,0.46595214620232583,-2.094233078956604,0.2,-0.5500335273146629,0.483,0.7625,3620.4050497928934,2372.646337779399,0.0797988548874855,0.6111111111111112
60000,0.36936402924358847,-1.7729342079162598,0.2,-0.573753471672535,0.352,0.7150000000000001,3483.1706173166604,2226.097902618703,0.05000000074505806,0.3680555555555556
70000,0.6490355612337589,-1.2819498497247697,0.2,-0.5659412473440171,0.462,0.6675,3143.2602920517584,1907.8582534706711,0.05000000074505806,0.3819444444444444
80000,0.49511106360703705,-3.7244726061820983,0.2,-0.5454256799817085,0.437,0.62,2113.4676945408673,909.2207895217194,0.05000000074505806,0.21180555555555555
90000,0.7621162059903145,-4.758867115974426,0.2,-0.5611066046357155,0.398,0.5725,3273.101864782131,2047.4917276127435,0.05000000074505806,0.4722222222222222
100000,0.6888017345964909,-4.864662528038025,0.2,-0.5242674884200096,0.473,0.525,4191.47820671027,2886.1009910103267,0.05000000074505806,0.4270833333333333
110000,1.2246123057603837,-6.624477286338806,0.2,-0.48211128562688826,0.466,0.47750000000000004,4064.7200249617194,2745.2812781692805,0.05000000074505806,0.375
120000,1.8164291578531264,-10.631834058761596,0.2,-0.5859858292341232,0.475,0.43000000000000005,-430.4538759153797,14.801961760968567,0.7624063491821289,0.6944444444444444
130000,0.49962363742291926,-3.8625854766368866,0.2,-0.5392050269246101,0.408,0.38250000000000006,1124.7004468481366,-7.912034324991296,0.05000000074505806,0.0
